,city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
10,Alger CDP,Skagit County,655.0,01255,057,53057,5301255,129.0
18,Anacortes city,Skagit County,17837.0,01990,057,53057,5301990,93.0
33,Barney's Junction CDP,Ferry County,80.0,04347,019,53019,5304347,63.0
34,Barstow CDP,Ferry County,76.0,04370,019,53019,5304370,56.0
38,Bay View CDP,Skagit County,626.0,04790,057,53057,5304790,169.0
39,Beacon Hill CDP,Cowlitz County,1978.0,04825,015,53015,5304825,393.0
49,Big Lake CDP,Skagit County,2648.0,06050,057,53057,5306050,477.0
61,Bow CDP,Skagit County,584.0,07450,057,53057,5307450,403.0
62,Boyds CDP,Ferry County,35.0,07485,019,53019,5307485,57.0
80,Burlington city,Skagit County,9637.0,08920,057,53057,5308920,21.0
91,Castle Rock city,Cowlitz County,2298.0,10565,015,53015,5310565,460.0
112,Clear Lake CDP (Skagit County),Skagit County,1176.0,12840,057,53057,5312840,236.0
125,Concrete town,Skagit County,838.0,14380,057,53057,5314380,249.0
127,Conway CDP,Skagit County,44.0,14520,057,53057,5314520,70.0
131,Cougar CDP,Cowlitz County,32.0,15010,015,53015,5315010,47.0
143,Curlew CDP,Ferry County,135.0,16165,019,53019,5316165,109.0
144,Curlew Lake CDP,Ferry County,605.0,16170,019,53019,5316170,214.0
148,Danville CDP,Ferry County,39.0,16585,019,53019,5316585,40.0
173,Edison CDP,Skagit County,260.0,20680,057,53057,5320680,134.0
238,Hamilton town,Skagit County,249.0,29255,057,53057,5329255,91.0
257,Inchelium CDP,Ferry County,397.0,33105,019,53019,5333105,101.0
264,Kalama city,Cowlitz County,2996.0,34645,015,53015,5334645,15.0
267,Keller CDP,Ferry County,195.0,34960,019,53019,5334960,47.0
268,Kelso city,Cowlitz County,12697.0,35065,015,53015,5335065,29.0
285,La Conner town,Skagit County,986.0,36780,057,53057,5336780,244.0
290,Lake Cavanaugh CDP,Skagit County,305.0,37105,057,53057,5337105,103.0
297,Lake McMurray CDP,Skagit County,533.0,37526,057,53057,5337526,285.0
311,Laurier CDP,Ferry County,0.0,38705,019,53019,5338705,13.0
315,Lexington CDP,Cowlitz County,4495.0,39230,015,53015,5339230,806.0
322,Longview city,Cowlitz County,37836.0,40245,015,53015,5340245,31.0
323,Longview Heights CDP,Cowlitz County,4403.0,40270,015,53015,5340270,822.0
328,Lyman town,Skagit County,437.0,40770,057,53057,5340770,144.0
338,Malo CDP,Ferry County,36.0,42310,019,53019,5342310,32.0
349,Marblemount CDP,Skagit County,318.0,43325,057,53057,5343325,165.0
388,Mount Vernon city,Skagit County,35312.0,47560,057,53057,5347560,39.0
429,Orient CDP,Ferry County,69.0,51830,019,53019,5351830,43.0
451,Pine Grove CDP,Ferry County,13.0,54405,019,53019,5354405,21.0
483,Republic city,Ferry County,1043.0,57850,019,53019,5357850,188.0
495,Rockport CDP,Skagit County,60.0,59250,057,53057,5359250,74.0
506,Ryderwood CDP,Cowlitz County,367.0,60580,015,53015,5360580,133.0
516,Sedro-Woolley city,Skagit County,12633.0,63210,057,53057,5363210,34.0
583,Torboy CDP,Ferry County,260.0,71995,019,53019,5371995,114.0
590,Twin Lakes CDP,Ferry County,101.0,73065,019,53019,5373065,42.0
640,Woodland city,Cowlitz County,6513.0,79625,015,53015,5379625,88.0
